 -0.75  23.
 -0.25  193.
  0.25  442.
  0.75  173.
  1.25  164.
  1.75  159.
  2.25  150.
  2.75  137.
  3.25  142.
  3.75  108.
  4.25  123.
  4.75  111.
  5.25  102.
  5.75  80.
  6.25  80.
  6.75  81.
  7.25  76.
  7.75  71.
  8.25  68.
  8.75  55.
  9.25  61.
  9.75  56.
  10.25  42.
  10.75  27.
  11.25  48.
  11.75  30.
  12.25  26.
  12.75  25.
  13.25  20.
  13.75  25.
  14.25  28.
  14.75  19.
  15.25  10.
  15.75  23.
  16.25  13.
  16.75  19.
  17.25  16.
  17.75  14.
  18.25  13.
  18.75  14.
  19.25  19.
  19.75  13.
  20.25  6.
  20.75  12.
  21.25  14.
  21.75  7.
  22.25  13.
  22.75  8.
  23.25  6.
  23.75  14.
  24.25  7.
  24.75  8.
  25.25  3.
  25.75  4.
  26.25  6.
  26.75  9.
  27.25  6.
  27.75  2.
  28.25  3.
  28.75  6.
  29.25  7.
  29.75  4.
  30.25  5.
  30.75  1.
  31.25  3.
  31.75  8.
  32.25  1.
  32.75  2.
  33.25  7.
  33.75  2.
  34.25  6.
  34.75  5.
  35.25  4.
  35.75  5.
  36.25  3.
  36.75  1.
  37.25  4.
  37.75  0.
  38.25  2.
  38.75  3.
  39.25  1.
  39.75  1.
  40.25  5.
  40.75  4.
  41.25  1.
  41.75  2.
  42.25  6.
  42.75  1.
  43.25  2.
  43.75  1.
  44.25  3.
  44.75  2.
  45.25  3.
  45.75  1.
  46.25  1.
  46.75  2.
  47.25  0.
  47.75  2.
  48.25  3.
  48.75  2.
  49.25  1.
  49.75  2.
